±¸ºÐ,¿¬µµ,ÀÏÀÚ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2020,426,34,0,0,0,0,0,0,0,0,19.1,63.48333333,102.3166667,118,118,118,111.55,11.9,0,0,0,0,0,0,0,0,662.35
Ç³·Â,2020,427,35,0,0,0,0,0,0,0,0,0,0,0,0,17.535,16.93333333,0.733333333,0,0,0,0,0,0,0,0,0,35.20166667
Ç³·Â,2020,430,36,0,0,0,0,0,0,0,0,0,0.433333333,18.105,54.56666667,65.3,52.71833333,20.35,5.333333333,0,0,0,0,0,0,0,0,216.8066667
Ç³·Â,2020,501,37,0,0,0,0,0,0,0,0,0,0,0,12.93333333,23.56,36,13.24666667,0,0,0,0,0,0,0,0,0,85.74
Ç³·Â,2020,506,38,0,0,0,0,0,0,0,0,0,0,0,0,14.16666667,13.11666667,0,0,0,0,0,0,0,0,0,0,27.28333333
Ç³·Â,2020,507,39,0,0,0,0,0,0,0,0,0,0,2.166666667,55.83333333,83.66666667,80.33333333,72.33333333,15.86666667,0,0,0,0,0,0,0,0,310.2
Ç³·Â,2020,508,40,0,0,0,0,0,0,0,0,0,0,0,5.95,64.43333333,97.66666667,99.83333333,34.13333333,4.633333333,0,0,0,0,0,0,0,306.65
Ç³·Â,2020,509,41,0,11.08333333,29,29,29,29,14.01666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.1
Ç³·Â,2020,512,42,0,0,0,0,0,0,0,0,0,0,0,0,19.5,29.53333333,26.66666667,6.066666667,0,0,0,0,0,0,0,0,81.76666667
Ç³·Â,2020,519,43,0,0,0,0,0,0,0,0,0,25.46666667,55.53333333,88.4,77.75,98.35,101.15,65.68333333,10.56666667,0,0,0,0,0,0,0,522.9
Ç³·Â,2020,630,44,0,0,0,0,0,0,0,0,0,0,2.166666667,16.04333333,32.36666667,39.7,28.35333333,0,0,0,0,0,0,0,0,0,118.63
Ç³·Â,2020,701,45,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.8,0,0,0,0,0,0,0,0,0,0,9
Ç³·Â,2020,907,46,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86666667,19,2.1,0,0,0,0,0,0,0,0,32.96666667
Ç³·Â,2020,922,47,0,0,0,0,0,0,0,0,0,0,0,0,21.66666667,57.91666667,10.58333333,0,0,0,0,0,0,0,0,0,90.16666667
Ç³·Â,2020,927,48,0,0,0,0,0,0,0,0,0,0,10.12166667,19.695,22.8,17.23166667,0.566666667,0,0,0,0,0,0,0,0,0,70.415
Ç³·Â,2020,1005,49,0,0,0,0,0,0,0,0,0,26.06666667,84.5,103.3666667,118.2,118.75,87.13333333,41.43333333,0,0,0,0,0,0,0,0,579.45
Ç³·Â,2020,1006,50,0,0,0,0,0,0,0,0,0,0,0,0,5.833333333,2.566666667,0,0,0,0,0,0,0,0,0,0,8.4
Ç³·Â,2020,1007,51,0,0,0,0,0,0,0,0,0,0,0,5.47,19.79,4.99,6.5,0,0,0,0,0,0,0,0,0,36.75
Ç³·Â,2020,1008,52,0,0,0,0,0,0,0,0,0,0,15.9,50.85,85.2,100.0666667,47.36666667,14.66666667,0,0,0,0,0,0,0,0,314.05
Ç³·Â,2020,1013,53,0,0,0,0,0,0,0,0,0,0,4.4,46.33333333,78.31666667,71.4,28.33333333,2.6,0,0,0,0,0,0,0,0,231.3833333
Ç³·Â,2020,1014,54,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,0,0,0,0,0,0,0,0,0,0,7.5
Ç³·Â,2020,1017,55,0,0,0,0,0,0,0,0,0,0,0,1.466666667,4,2.6,0,0,0,0,0,0,0,0,0,0,8.066666667
Ç³·Â,2020,1023,56,0,0,17.66666667,20,8,0,0,0,0,31.45,104.9166667,122,123.2833333,114.7666667,72.61666667,33.01666667,20.7,0,0,9.416666667,20.41666667,0,0,0,698.25
Ç³·Â,2020,1024,57,0,0,0,0,0,0,0,0,0,48.38333333,101.1833333,133.95,154.2166667,150.8,129,81.48333333,18.4,0,0,0,0,0,0,0,817.4166667
Ç³·Â,2020,1025,58,0,0,0,0,0,0,0,0,0,0,0,24.55,60.81166667,70.65,46.36666667,0,0,0,0,0,0,0,0,0,202.3783333
Ç³·Â,2020,1029,59,0,0,0,0,0,0,0,0,0,4.253333333,38.7,57.89166667,38.63333333,0,0,0,0,0,0,0,0,0,0,0,139.4783333
Ç³·Â,2020,1030,60,0,0,0,0,0,0,0,0,0,0,0,0.31,7.4,3.436666667,0,0,0,0,0,0,0,0,0,0,11.14666667
Ç³·Â,2020,1101,61,0,0,0,0,0,0,0,0,0,0,0.875,10.7,12,9.8,0,0,0,0,0,0,0,0,0,0,33.375
Ç³·Â,2020,1103,62,0,0,0,0,0,0,0,0,0,1.183333333,64.73333333,141.0166667,157.2,146.8166667,115.2833333,53.56166667,4.585,0,0,0,0,0,0,0,684.38
Ç³·Â,2020,1104,63,0,0,0,0,0,0,0,0,0,1.728333333,11.65,54.1,69.16333333,53,10.90666667,0,0,0,0,0,0,0,0,0,200.5483333
Ç³·Â,2020,1108,64,0,0,0,0,0,0,0,0,0,8.416666667,51.66,84.95333333,91.9,93.9,49.155,9.55,0,0,0,0,0,0,0,0,389.535
Ç³·Â,2020,1109,65,0,0,0,0,0,0,0,0,0,0,0,9.375,19.15,19,0,0,0,0,0,0,0,0,0,0,47.525
Ç³·Â,2020,1113,66,0,0,0,0,0,0,0,0,0,0,0,0,30.33333333,1.666666667,0,0,0,0,0,0,0,0,0,0,32
Ç³·Â,2020,1118,67,0,0,0,0,0,0,0,0,0,0,31.04,43.8,10.54666667,0,0,0,0,0,0,0,0,0,0,0,85.38666667
Ç³·Â,2020,1120,68,0,0,0,0,0,0,0,0,0,0,14.51666667,61.38333333,107.2833333,49.95,8.483333333,0,0,0,0,0,0,0,0,0,241.6166667
Ç³·Â,2020,1123,69,0,0,0,0,0,0,0,0,0,0,0,0.471666667,18.8,3.945,0,0,0,0,0,0,0,0,0,0,23.21666667
Ç³·Â,2020,1124,70,0,0,0,0,0,0,0,0,0,2.45,0,0,31.44166667,30.5,22.95833333,0,0,0,0,0,0,0,0,0,87.35
Ç³·Â,2020,1125,71,0,0,0,0,7.35,0,0,0,0,31.89333333,60.4,63.88333333,71.4,69.45,53.35,22.7,0,0,0,0,0,0,0,0,380.4266667
Ç³·Â,2020,1206,72,0,0,0,0,0,0,0,0,0,0,0,5.533333333,6.2,3.975,8.033333333,0,0,0,0,0,0,0,0,0,23.74166667
Ç³·Â,2020,1212,73,0,0,0,0,0,0,0,0,0,0,0,27.95,79.16333333,63.52333333,5.588333333,0,0,0,0,0,0,0,0,0,176.225
Ç³·Â,2020,1213,74,0,0,0,0,0,0,0,0,0,0,0,0,0,5.666666667,7.956666667,0,0,0,0,0,0,0,0,0,13.62333333
Ç³·Â,2020,1219,75,0,0,0,0,0,0,0,0,0,0,2.191666667,62.06666667,81.36666667,86.3,57.53333333,6.07,0,0,0,0,0,0,0,0,295.5283333
Ç³·Â,2020,1224,76,0,0,0,0,0,0,0,0,0,0,0,0,1.44,14.4,6,0,0,0,0,0,0,0,0,0,21.84
Ç³·Â,2020,1225,77,0,0,0,0,0,0,0,0,0,0,0,12.17,22.8,13.32,0,0,0,0,0,0,0,0,0,0,48.29
