구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2020년11월12일,1786,1377.75,1169.1,717.35
2020년11월13일,1786,1377.75,1169.01,717.87
2020년11월14일,1786,1377.96,1169.16,717.82
2020년11월15일,1786,1377.85,1169.01,717.82
2020년11월16일,1786,1377.85,1169.18,717.24
2020년11월17일,1786,1374.59,1165.84,716.13
2020년11월18일,1763.33,1357.91,1148.81,711.12
2020년11월19일,1763.33,1357.58,1148.66,708.66
2020년11월20일,1763.33,1357.73,1149.02,706.67
2020년11월21일,1763.33,1356.79,1147.78,705.3
2020년11월22일,1763.33,1356.58,1147.73,704.73
2020년11월23일,1763.33,1356.63,1148.13,704.21
2020년11월24일,1763.33,1356.79,1147.67,704.73
2020년11월25일,1763.33,1356.74,1147.93,704.1
2020년11월26일,1763.33,1356.79,1147.73,704.32
2020년11월27일,1763.33,1379.86,1176.33,722.4
2020년11월28일,1763.33,1382.97,1180.01,727.87
2020년11월29일,1763.33,1383.38,1180.55,729.21
2020년11월30일,1763.33,1384.11,1180.68,730.03
2020년12월01일,1763.33,1384.73,1181.66,730.11
2020년12월02일,1773.33,1385.37,1183.02,730.43
2020년12월03일,1786,1386.62,1184.28,730.11
2020년12월04일,1786,1388.23,1185.98,730.38
2020년12월05일,1786,1388.59,1186.1,730.54
2020년12월06일,1786,1390.4,1187.69,729.89
2020년12월07일,1786,1391.8,1189.04,730.63
2020년12월08일,1786,1411,1207.9,731.37
2020년12월09일,1786,1420.02,1217.6,731.91
2020년12월10일,1786,1421.57,1218.83,732.02
2020년12월11일,1786,1421.98,1219.38,732.38
2020년12월12일,1786,1422.04,1219.42,732.81
2020년12월13일,1786,1422.77,1219.5,732.81
2020년12월14일,1786,1422.5,1219.91,733.77
2020년12월15일,1786,1423.33,1219.75,734.67
2020년12월16일,1786,1423.9,1220.26,736.72
2020년12월17일,1786,1423.9,1220.32,736.41
2020년12월18일,1803.33,1424.01,1220.56,736.93
2020년12월19일,1803.33,1423.95,1220.56,737.43
2020년12월20일,1803.33,1424.11,1220.72,737.71
2020년12월21일,1803.33,1424.11,1220.61,738.1
2020년12월22일,1803.33,1424.15,1220.89,739.26
2020년12월23일,1803.33,1424.31,1220.92,739.64
2020년12월24일,1803.33,1424.98,1221.18,741.27
2020년12월25일,1813.33,1425.81,1222.53,742.38
2020년12월26일,1813.33,1426.07,1222.4,743.09
2020년12월27일,1813.33,1426.36,1222.32,743.65
2020년12월28일,1813.33,1426.57,1222.7,744.7
2020년12월29일,1823.33,1443.24,1244.76,767.64
2020년12월30일,1823.33,1447.46,1249.59,777.5
2020년12월31일,1823.33,1448.83,1251.43,780.25
2021년01월01일,1823.33,1450.91,1252.54,781.65
2021년01월02일,1823.33,1451.99,1253.99,782.58
2021년01월03일,1823.33,1452.05,1254.38,782.64
2021년01월04일,1823.33,1453.02,1255.75,783.74
2021년01월05일,1823.33,1453.42,1256.64,784.07
2021년01월06일,1823.33,1454.56,1257.8,784.01
2021년01월07일,1823.33,1455.96,1259.23,785.38
2021년01월08일,1823.33,1456.37,1259.44,785.77
2021년01월09일,1823.33,1458.23,1261.66,789.61
2021년01월10일,1823.33,1458.69,1261.93,790.17
2021년01월11일,1823.33,1458.91,1262.14,791.27
2021년01월12일,1823.33,1460.68,1264.31,794.03
2021년01월13일,1823.33,1461.62,1265.09,794.94
2021년01월14일,1823.33,1461.83,1265.2,795.5
2021년01월15일,1823.33,1479.12,1287.52,817.72
2021년01월16일,1823.33,1482.61,1292.54,827.44
2021년01월17일,1823.33,1483.9,1293.59,828.65
2021년01월18일,1823.33,1483.91,1294.23,829.83
2021년01월19일,1823.33,1484.38,1294.39,830.28
2021년01월20일,1823.33,1484.59,1294.68,830.22
2021년01월21일,1823.33,1484.64,1294.7,830.28
2021년01월22일,1853.33,1485.65,1296.01,831.83
2021년01월23일,1853.33,1485.86,1296.53,832
2021년01월24일,1853.33,1485.7,1296.63,832.94
2021년01월25일,1853.33,1486.15,1296.48,833.11
2021년01월26일,1853.33,1486.46,1296.99,833.17
2021년01월27일,1853.33,1489.21,1300.1,835.47
2021년01월28일,1853.33,1489.47,1300.47,836.24
2021년01월29일,1853.33,1505.35,1315.8,850.55
2021년01월30일,1853.33,1508.75,1320.58,856.26
2021년01월31일,1853.33,1509.89,1321.66,857.6
2021년02월01일,1853.33,1510.84,1322.51,858.69
2021년02월02일,1880,1511.1,1322.72,858.69
2021년02월03일,1880,1511.21,1322.95,858.74
2021년02월04일,1906.67,1514.68,1326.19,862.02
2021년02월05일,1880,1517.17,1329.48,866.12
2021년02월06일,1906.67,1517.58,1329.74,866.67
2021년02월07일,1880,1517.58,1329.84,867.05
2021년02월08일,1880,1517.74,1330.03,867.05
2021년02월09일,1902.5,1517.79,1330.19,868.14
2021년02월10일,1922.5,1519.26,1331.37,870.16
2021년02월11일,1922.5,1518.97,1331.37,870.03
2021년02월12일,1902.5,1519.08,1331.42,870.14
2021년02월13일,1902.5,1519,1331.42,869.86
2021년02월14일,1922.5,1519.23,1331.42,869.75
2021년02월15일,1922.5,1519.23,1331.27,869.75
2021년02월16일,1922.5,1540.47,1347.36,882.53
2021년02월17일,1922.5,1546.12,1351.45,889.53
2021년02월18일,1922.5,1547,1352.33,889.95
2021년02월19일,1922.5,1554.56,1358.24,896.02
2021년02월20일,1922.5,1555.5,1358.76,897.47
2021년02월21일,1922.5,1555.81,1358.91,896.81
2021년02월22일,1922.5,1556.12,1359.01,897.75
2021년02월23일,1922.5,1556.27,1359.11,898.01
2021년02월24일,1922.5,1556.27,1359.07,898.34
2021년02월25일,1922.5,1557.56,1359.48,899.56
2021년02월26일,1922.5,1557.36,1359.63,899.67
2021년02월27일,1922.5,1557.05,1359.48,899.5
2021년02월28일,1922.5,1557.21,1359.49,899.48
2021년03월01일,1922.5,1557.23,1359.47,898.56
2021년03월02일,1922.5,1557.16,1359.33,899.06
2021년03월03일,1922.5,1557.26,1359.53,899.72
2021년03월04일,1922.5,1557.31,1359.58,899.83
2021년03월05일,1935,1557.31,1359.58,899.5
2021년03월06일,1935,1557.31,1359.58,899.83
2021년03월07일,1935,1557.31,1359.58,899.75
2021년03월08일,1935,1557.31,1359.53,899.75
2021년03월09일,1935,1564.61,1366.26,900.03
2021년03월10일,1935,1566.48,1368.48,900.28
2021년03월11일,1935,1567.27,1369.06,900.44
2021년03월12일,1935,1567.42,1369.21,900.61
2021년03월13일,1960,1596.93,1392.92,912.31
2021년03월14일,1960,1600.96,1396.1,917.32
2021년03월15일,1960,1600.76,1395.95,918.72
2021년03월16일,1960,1601.33,1396.36,919.39
2021년03월17일,1960,1601.53,1396.41,919.38
2021년03월18일,1960,1601.64,1396.65,919.44
2021년03월19일,1974.5,1601.78,1396.71,919.44
2021년03월20일,1974.5,1601.79,1396.65,920.11
2021년03월21일,1974.5,1601.71,1396.61,919.89
2021년03월22일,1974.5,1601.53,1396.65,920.17
2021년03월23일,1974.5,1603.3,1397.68,920.83
2021년03월24일,1974.5,1604.33,1398.23,921.65
2021년03월25일,1974.5,1605.62,1399.5,922.09
2021년03월26일,1974.5,1611.15,1402.58,924.62
2021년03월27일,1974.5,1611.82,1402.99,924.67
2021년03월28일,1974.5,1611.88,1402.99,924.23
2021년03월29일,1974.5,1611.64,1402.79,924.45
2021년03월30일,1974.5,1629.23,1420.61,934.78
2021년03월31일,1974.5,1630.64,1421.61,939.08
2021년04월01일,1974.5,1631.21,1422.1,941.04
2021년04월02일,1973.75,1631.63,1422.68,942.71
2021년04월03일,1973.75,1631.79,1422.79,943.82
2021년04월04일,1973.75,1631.86,1422.91,944.96
2021년04월05일,1973.75,1631.68,1422.77,944.33
2021년04월06일,1973.75,1631.78,1422.77,944.3
2021년04월07일,1973.75,1631.88,1422.79,944.13
2021년04월08일,1973.75,1632.09,1423,944.53
2021년04월09일,1973.75,1632.61,1423.52,946.24
